"parameter","theta_hat","theta0","sigma_hat","Z","p_value","reject_5_percent","reject","replicate","n_events","convergence","gamma0_hat","gamma1_hat","alpha_hat","beta_hat","branching_hat"
"gamma0",-0.440262261659913,-0.5,2.48328123911076,0.53790783599832,0.590640678337329,FALSE,FALSE,1,668,0,-0.440262261659913,0.825723805695577,0.25992695192291,0.919775657596841,0.28259820726506
"gamma1",0.825723805695577,0.9,1.33698212144984,-1.24225011621371,0.214144294085785,FALSE,FALSE,1,668,0,-0.440262261659913,0.825723805695577,0.25992695192291,0.919775657596841,0.28259820726506
"log_alpha",-1.34735464158427,-1.04982212449868,8.13791947487472,-0.817534427287084,0.413623083293728,FALSE,FALSE,1,668,0,-0.440262261659913,0.825723805695577,0.25992695192291,0.919775657596841,0.28259820726506
"log_beta",-0.0836254891136195,0.182321556793955,8.71833790559877,-0.682097527652263,0.495177283837604,FALSE,FALSE,1,668,0,-0.440262261659913,0.825723805695577,0.25992695192291,0.919775657596841,0.28259820726506
"gamma0",-0.604579049414925,-0.5,2.21093436728974,-1.05767890252093,0.290201856845479,FALSE,FALSE,2,604,0,-0.604579049414925,0.986667613789961,0.282877151163783,1.14375740274829,0.247322684411981
"gamma1",0.986667613789961,0.9,1.14539743325501,1.69194264152768,0.0906569105614463,FALSE,FALSE,2,604,0,-0.604579049414925,0.986667613789961,0.282877151163783,1.14375740274829,0.247322684411981
"log_alpha",-1.26274257041296,-1.04982212449868,8.01394015025316,-0.594095515985174,0.552448229807588,FALSE,FALSE,2,604,0,-0.604579049414925,0.986667613789961,0.282877151163783,1.14375740274829,0.247322684411981
"log_beta",0.134318809934884,0.182321556793955,7.67760377346878,-0.139805866844183,0.888813377753963,FALSE,FALSE,2,604,0,-0.604579049414925,0.986667613789961,0.282877151163783,1.14375740274829,0.247322684411981
"gamma0",-0.64575496074817,-0.5,2.40704514226202,-1.35401698359691,0.175730959389083,FALSE,FALSE,3,541,0,-0.64575496074817,0.978914554910746,0.285882210458751,0.887771300205207,0.322022361381438
"gamma1",0.978914554910746,0.9,1.38241955651144,1.27644540590747,0.20179811403594,FALSE,FALSE,3,541,0,-0.64575496074817,0.978914554910746,0.285882210458751,0.887771300205207,0.322022361381438
"log_alpha",-1.25217540453925,-1.04982212449868,6.29352837171988,-0.718953920465332,0.472169311859348,FALSE,FALSE,3,541,0,-0.64575496074817,0.978914554910746,0.285882210458751,0.887771300205207,0.322022361381438
"log_beta",-0.119041113974284,0.182321556793955,6.06742370214509,-1.1106318773822,0.266726835691421,FALSE,FALSE,3,541,0,-0.64575496074817,0.978914554910746,0.285882210458751,0.887771300205207,0.322022361381438
"gamma0",-0.52131947518576,-0.5,2.25723023311136,-0.211195982849606,0.832734345282612,FALSE,FALSE,4,683,0,-0.52131947518576,0.932803374202753,0.246207427772077,0.858376953551734,0.28682902861422
"gamma1",0.932803374202753,0.9,0.974017949209259,0.753072103735524,0.451406586723455,FALSE,FALSE,4,683,0,-0.52131947518576,0.932803374202753,0.246207427772077,0.858376953551734,0.28682902861422
"log_alpha",-1.40158089601963,-1.04982212449868,7.50235484063789,-1.04841285371112,0.294448433990702,FALSE,FALSE,4,683,0,-0.52131947518576,0.932803374202753,0.246207427772077,0.858376953551734,0.28682902861422
"log_beta",-0.152711936171763,0.182321556793955,7.22821935432946,-1.0364346020598,0.299999434559542,FALSE,FALSE,4,683,0,-0.52131947518576,0.932803374202753,0.246207427772077,0.858376953551734,0.28682902861422
"gamma0",-0.493536411711354,-0.5,2.77245499522948,0.0521307751319765,0.958424491288333,FALSE,FALSE,5,581,0,-0.493536411711354,0.863047575241165,0.254717885549631,1.05935068490831,0.240447180691329
"gamma1",0.863047575241165,0.9,1.82729274440366,-0.452188812916059,0.651132966698143,FALSE,FALSE,5,581,0,-0.493536411711354,0.863047575241165,0.254717885549631,1.05935068490831,0.240447180691329
"log_alpha",-1.36759867743771,-1.04982212449868,9.82175148308623,-0.723465641796066,0.469393855419091,FALSE,FALSE,5,581,0,-0.493536411711354,0.863047575241165,0.254717885549631,1.05935068490831,0.240447180691329
"log_beta",0.057656159024326,0.182321556793955,11.6785457380879,-0.238694363242338,0.811342587918142,FALSE,FALSE,5,581,0,-0.493536411711354,0.863047575241165,0.254717885549631,1.05935068490831,0.240447180691329
"gamma0",-0.578176949172554,-0.5,2.75684703884111,-0.63409021306043,0.526021949485323,FALSE,FALSE,6,590,0,-0.578176949172554,1.00095029215767,0.221711449806227,0.750324873072926,0.295487271930913
"gamma1",1.00095029215767,0.9,1.84928450085174,1.22064352731582,0.222221018251842,FALSE,FALSE,6,590,0,-0.578176949172554,1.00095029215767,0.221711449806227,0.750324873072926,0.295487271930913
"log_alpha",-1.50637851819852,-1.04982212449868,7.91746214391407,-1.28941713053814,0.197253109086699,FALSE,FALSE,6,590,0,-0.578176949172554,1.00095029215767,0.221711449806227,0.750324873072926,0.295487271930913
"log_beta",-0.287249002143031,0.182321556793955,8.31115288706001,-1.26335263504832,0.206462478066138,FALSE,FALSE,6,590,0,-0.578176949172554,1.00095029215767,0.221711449806227,0.750324873072926,0.295487271930913
"gamma0",-0.537356056614905,-0.5,2.6074074011859,-0.320359150335567,0.748696088322339,FALSE,FALSE,7,646,0,-0.537356056614905,0.913171482985474,0.262085834944598,0.737452449901491,0.355393537548906
"gamma1",0.913171482985474,0.9,1.46729465748759,0.200725404196812,0.840913294301082,FALSE,FALSE,7,646,0,-0.537356056614905,0.913171482985474,0.262085834944598,0.737452449901491,0.355393537548906
