"parameter","theta_hat","theta0","sigma_hat","Z","p_value","reject_5_percent","replicate","n_events","convergence","reject"
"log_mu",-0.223130403831116,-0.22314355131421,1.9173493962591,0.000216840979306602,0.999826985931818,FALSE,1,1052,0,FALSE
"log_alpha",-0.895823562011726,-1.04982212449868,6.46657551057668,0.753082080390187,0.451400591914479,FALSE,1,1052,0,FALSE
"log_beta",0.533183823840867,0.182321556793955,7.61922891299034,1.45621548000325,0.145333061535007,FALSE,1,1052,0,FALSE
"log_mu",-0.173820103419317,-0.22314355131421,1.93416325949048,0.806418158524986,0.420001780217648,FALSE,2,1059,0,FALSE
"log_alpha",-0.964352075715133,-1.04982212449868,7.81598211789297,0.345804304315077,0.729489790128783,FALSE,2,1059,0,FALSE
"log_beta",0.613789426611317,0.182321556793955,9.98451725611289,1.36653698001126,0.17177048209494,FALSE,2,1059,0,FALSE
"log_mu",-0.116861289164132,-0.22314355131421,1.94975705708795,1.72377385196555,0.0847486767676684,FALSE,3,1224,0,FALSE
"log_alpha",-0.906086880102114,-1.04982212449868,5.7413016233127,0.791685896606548,0.42854384779832,FALSE,3,1224,0,FALSE
"log_beta",0.3910575451724,0.182321556793955,6.75679824066843,0.976914108444691,0.328611676494677,FALSE,3,1224,0,FALSE
"log_mu",-0.146959747219852,-0.22314355131421,2.11978624628523,1.13650299494309,0.255746112842514,FALSE,4,1120,0,FALSE
"log_alpha",-1.15918560403794,-1.04982212449868,7.76752169127429,-0.445235561522542,0.656149530017774,FALSE,4,1120,0,FALSE
"log_beta",0.313400070518169,0.182321556793955,9.75021845806042,0.425125506121855,0.67074518525861,FALSE,4,1120,0,FALSE
"log_mu",-0.165344406118088,-0.22314355131421,2.36200658862956,0.773820642628153,0.439036863495697,FALSE,5,1181,0,FALSE
"log_alpha",-1.27449979349748,-1.04982212449868,6.75556427393078,-1.05171551124955,0.292930092280171,FALSE,5,1181,0,FALSE
"log_beta",-0.0115971903521767,0.182321556793955,8.22369957388836,-0.745680112069202,0.455860675856547,FALSE,5,1181,0,FALSE
"log_mu",-0.154262038804406,-0.22314355131421,2.50421929372096,0.869821859269778,0.384397763676076,FALSE,6,1169,0,FALSE
"log_alpha",-1.20460990221305,-1.04982212449868,8.17068037772541,-0.599071202035596,0.549125404585719,FALSE,6,1169,0,FALSE
"log_beta",0.116241236573147,0.182321556793955,11.1854892881058,-0.186817326474252,0.85180386151861,FALSE,6,1169,0,FALSE
"log_mu",-0.186902177889543,-0.22314355131421,2.10132582250449,0.545395123056398,0.585481793921769,FALSE,7,1149,0,FALSE
"log_alpha",-0.933887514073632,-1.04982212449868,5.89517846469092,0.621893689535091,0.534011774846386,FALSE,7,1149,0,FALSE
"log_beta",0.345168610610957,0.182321556793955,7.2724745806412,0.708105053650583,0.47888002153387,FALSE,7,1149,0,FALSE
"log_mu",-0.263655751683916,-0.22314355131421,2.17170476274374,-0.589909035478342,0.555251636160069,FALSE,8,1176,0,FALSE
"log_alpha",-0.648504578216212,-1.04982212449868,5.17441971963504,2.45259870672443,0.0141828461775637,TRUE,8,1176,0,TRUE
"log_beta",0.409517562932807,0.182321556793955,6.47505011149891,1.10957728870156,0.267181222419404,FALSE,8,1176,0,FALSE
"log_mu",-0.106382098057996,-0.22314355131421,2.15664373189193,1.71206829269389,0.0868840837707487,FALSE,9,1233,0,FALSE
"log_alpha",-0.99279507352211,-1.04982212449868,6.88009036895926,0.262111919549921,0.79323515748908,FALSE,9,1233,0,FALSE
