"parameter_i","parameter_j","theta_i_hat","theta_j_hat","contrast_hat","sigma_hat","Z","p_value","reject_5_percent","replicate","n_events","convergence","reject"
"log_mu","log_beta",0.218068898286642,0.442147051951021,-0.224078153664379,10.13523246302,-0.699142661058905,0.48446287998706,FALSE,1,1689,0,FALSE
"log_mu","log_beta",0.187676516913762,0.0392086122740149,0.148467904639747,6.36463075801302,0.7376653193953,0.460717851632586,FALSE,2,1729,0,FALSE
"log_mu","log_beta",0.276509874167516,0.16596297448547,0.110546899682046,8.02972170842023,0.43535754283841,0.663302923067616,FALSE,3,1741,0,FALSE
"log_mu","log_beta",0.142354482282578,-0.303378180433704,0.445732662716282,7.13152748938414,1.97647761130174,0.0481007090146137,TRUE,4,1708,0,TRUE
"log_mu","log_beta",0.163720055552341,0.426969496876604,-0.263249441324263,7.47124744580911,-1.11422869258397,0.265181089147424,FALSE,5,1589,0,FALSE
"log_mu","log_beta",0.182167557784905,0.154473092581448,0.0276944652034566,6.52872073531178,0.134142035130285,0.893290260768555,FALSE,6,1742,0,FALSE
"log_mu","log_beta",0.191260896353373,-0.101790703232374,0.293051599585748,10.9484392575692,0.846431628148218,0.397312000665474,FALSE,7,1700,0,FALSE
"log_mu","log_beta",0.22948818335549,-0.00134102322208655,0.230829206577576,7.56269844088578,0.965192581695968,0.334448361884937,FALSE,8,1767,0,FALSE
"log_mu","log_beta",0.186957434410544,-0.135572148526425,0.322529582936969,7.00877621523853,1.45521566610654,0.145609565161759,FALSE,9,1732,0,FALSE
"log_mu","log_beta",0.177752365195539,0.255811846908762,-0.0780594817132232,6.87748015326846,-0.358918891345309,0.719655766739062,FALSE,10,1671,0,FALSE
"log_mu","log_beta",0.244061233825853,0.80359480786238,-0.559533574036527,7.49255090509769,-2.36154621263372,0.0181989035381276,TRUE,11,1635,0,TRUE
"log_mu","log_beta",0.252138481052618,0.636352780917241,-0.384214299864623,6.32423141586463,-1.92116988972173,0.0547102928553111,FALSE,12,1642,0,FALSE
"log_mu","log_beta",0.26883983612982,0.275696403761857,-0.00685656763203663,8.9801881796496,-0.0241446729338683,0.980737209848099,FALSE,13,1738,0,FALSE
"log_mu","log_beta",0.119122338240923,0.403227068844359,-0.284104730603436,5.40213351498226,-1.66308004095739,0.0962964145624978,FALSE,14,1652,0,FALSE
"log_mu","log_beta",0.122637347506655,0.070940096351077,0.051697251155578,6.33783647108975,0.25794458908355,0.79644967181431,FALSE,15,1637,0,FALSE
