"rep","case","n_events","true_gamma0","poisson_gamma0","hawkes_gamma0","true_gamma1","poisson_gamma1","hawkes_gamma1","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","poisson_convergence","hawkes_convergence","error"
1,"covariate_negative_control",298,-0.693147180559945,-0.712459301774028,-0.730444995251231,0.8,0.904529658400217,0.908724268826254,0,0.158040144224968,1.5,9.79447434045422,0,0.0161356432955481,-399.382012872955,-399.058056151389,0.647913443131301,0,0,FALSE
1,"covariate_positive_control",487,-0.693147180559945,-0.151836380960903,-0.698861899060523,0.8,0.719599756308718,0.64331555613133,0.6,0.604075651160402,1.5,1.38581090650196,0.4,0.435900488534326,-442.368902036455,-394.706832419081,95.324139234748,0,0,FALSE
2,"covariate_negative_control",283,-0.693147180559945,-0.681265455682211,-0.682089731383728,0.8,0.679015267411272,0.678559676928349,0,0.0741859222367243,1.5,87.4219993958364,0,0.000848595579481307,-414.050219297726,-414.039875869396,0.0206868566594949,0,0,FALSE
2,"covariate_positive_control",479,-0.693147180559945,-0.166714344454441,-0.568544290869306,0.8,0.714602771585819,0.684567924165368,0.6,0.639112696958106,1.5,1.89290670389185,0.4,0.337635603299455,-443.749718928462,-412.994665811846,61.5101062332316,0,0,FALSE
3,"covariate_negative_control",264,-0.693147180559945,-0.870686797629397,-0.99071326788701,0.8,0.991262819069768,1.04164791949491,0,0.00714648616671185,1.5,0.0761727043498331,0,0.0938195148473484,-377.856438896993,-377.583665073459,0.54554764706927,0,0,FALSE
3,"covariate_positive_control",473,-0.693147180559945,-0.206605048438603,-0.746764350365599,0.8,0.792074625728418,0.801598375838412,0.6,0.781344297999354,1.5,1.8814480786868,0.4,0.415288791038397,-432.885974069367,-374.138919991576,117.494108155584,0,0,FALSE
4,"covariate_negative_control",321,-0.693147180559945,-0.58864899645163,-0.588606368712088,0.8,0.776696433433454,0.776716267515406,0,0.00014924852571381,1.5,11.3948468984236,0,1.30978965355346e-05,-419.769464539097,-419.769910364988,-0.000891651780648317,0,0,FALSE
4,"covariate_positive_control",568,-0.693147180559945,-0.0950784197211183,-0.518803764635652,0.8,0.96979006739967,0.940054049326258,0.6,0.542708590737042,1.5,1.53370956744637,0.4,0.353853560189138,-382.067699127866,-350.972896964124,62.1896043274839,0,0,FALSE
5,"covariate_negative_control",286,-0.693147180559945,-0.677709456607939,-0.740194036000027,0.8,0.700460145960659,0.702394178891357,0,0.0262464379146897,1.5,0.435832546268838,0,0.0602213812148391,-413.641101488266,-413.409066159679,0.464070657174034,0,0,FALSE
5,"covariate_positive_control",442,-0.693147180559945,-0.283432387109091,-0.591051914803342,0.8,0.816332462249991,0.787405686425649,0.6,0.448329248091321,1.5,1.64422004102303,0.4,0.27266985981534,-431.048320243607,-412.660380684891,36.7758791174308,0,0,FALSE
6,"covariate_negative_control",306,-0.693147180559945,-0.625105187101526,-0.62516989252525,0.8,0.744604443078635,0.744486361909723,0,0.0225544577676947,1.5,224.908491763775,0,0.000100282819874067,-417.836463022109,-417.835134083715,0.00265787678870311,0,0,FALSE
6,"covariate_positive_control",507,-0.693147180559945,-0.195084374326089,-0.78078930309463,0.8,0.938139403535903,0.907152818831669,0.6,0.517856113658997,1.5,1.14950325963598,0.4,0.450504258529017,-404.218170606557,-361.072279722169,86.291781768777,0,0,FALSE
7,"covariate_negative_control",294,-0.693147180559945,-0.651906634963443,-0.669289699864759,0.8,0.705847146431992,0.69818505786878,0,0.348044859424266,1.5,17.6492027963905,0,0.0197201461980734,-416.634421059212,-416.062318845276,1.14420442787218,0,0,FALSE
7,"covariate_positive_control",436,-0.693147180559945,-0.328497056335518,-0.867320617130174,0.8,0.896203432709743,0.804004599134766,0.6,0.384410804838513,1.5,0.879223026066851,0.4,0.437216489379436,-419.642367697741,-391.811007728238,55.6627199390061,0,0,FALSE
8,"covariate_negative_control",270,-0.693147180559945,-0.753352428453573,-0.765906924688883,0.8,0.753404334053512,0.755847441258053,0,2.09817778992117,1.5,180.614761325681,0,0.0116168677162427,-401.745020829015,-399.933603093304,3.62283547142215,0,0,FALSE
8,"covariate_positive_control",417,-0.693147180559945,-0.365607315590781,-0.829376854723102,0.8,0.877815314546252,0.900416134640796,0.6,0.660637569732142,1.5,1.80558248015347,0.4,0.365886120957482,-422.516368408667,-380.63955586433,83.7536250886731,0,0,FALSE
9,"covariate_negative_control",275,-0.693147180559945,-0.710678390345804,-0.876219152466301,0.8,0.681304582394032,0.673928773788106,0,0.0608442826384052,1.5,0.392450889866319,0,0.155036679007482,-410.050166297663,-408.804551598065,2.4912293991963,0,0,FALSE
9,"covariate_positive_control",414,-0.693147180559945,-0.286746601233076,-0.720926212612133,0.8,0.63377490135289,0.671791789679847,0.6,0.535039897444805,1.5,1.55296120035136,0.4,0.344528824882264,-453.480232499098,-423.725194336969,59.5100763242579,0,0,FALSE
10,"covariate_negative_control",306,-0.693147180559945,-0.641034689895508,-0.658164496946527,0.8,0.789132629919597,0.783855642326265,0,0.527034859241672,1.5,27.9149308116733,0,0.0188800345878442,-413.600012806907,-412.687195862256,1.82563388930305,0,0,FALSE
10,"covariate_positive_control",486,-0.693147180559945,-0.185499676348057,-0.741558133515077,0.8,0.808262411298675,0.794858626063019,0.6,0.563556167670662,1.5,1.31058826853829,0.4,0.430002450959827,-429.098329877957,-388.539517055288,81.117625645339,0,0,FALSE
11,"covariate_negative_control",298,-0.693147180559945,-0.675803841779113,-0.735017586436195,0.8,0.811433138873665,0.805297080423292,0,0.0525908825875518,1.5,0.881260928787428,0,0.0596768571822584,-408.562701225976,-408.191308300712,0.742785850527298,0,0,FALSE
11,"covariate_positive_control",467,-0.693147180559945,-0.265480725094072,-0.763119827037204,0.8,0.910000614659133,0.844904491068578,0.6,0.576134161011076,1.5,1.4130721572957,0.4,0.407717438940745,-415.21478278648,-377.180760209078,76.0680451548038,0,0,FALSE
12,"covariate_negative_control",301,-0.693147180559945,-0.643477757007998,-0.864373882576924,0.8,0.750029700789705,0.851302602745898,0,0.0114022607214479,1.5,0.0669139161006025,0,0.170401934095519,-415.468160066868,-414.698230203943,1.53985972584996,0,0,FALSE
12,"covariate_positive_control",425,-0.693147180559945,-0.374741908098411,-0.695755102865102,0.8,0.945744822496857,0.905304905231386,0.6,0.535561493555045,1.5,1.86720595436062,0.4,0.28682507802865,-412.702498187148,-392.223125527299,40.9587453196983,0,0,FALSE
13,"covariate_negative_control",294,-0.693147180559945,-0.683061402777087,-1.19941403917215,0.8,0.794628599657527,1.12858445107619,0,0.0167753946171156,1.5,0.0531093679970304,0,0.315865077100024,-408.629933926194,-405.732059016998,5.79574981839176,0,0,FALSE
13,"covariate_positive_control",447,-0.693147180559945,-0.201488612805458,-0.793264292827689,0.8,0.604809371080855,0.571482273522797,0.6,0.665082726363353,1.5,1.47196446227381,0.4,0.451833412700719,-458.834119071466,-399.853783728812,117.960670685308,0,0,FALSE
