"rep","case","path_min","path_max","n_events","true_gamma0","poisson_gamma0","hawkes_gamma0","true_gamma1","poisson_gamma1","hawkes_gamma1","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","poisson_convergence","hawkes_convergence","error"
1,"diffusion_negative_control",-3.35972301255937,2.82130824135496,225,-0.916290731874155,-0.938606737100461,-0.938624720745811,0.5,0.5448799165873,0.54486051185032,0,4.93198221684743e-05,1.5,8.3739530058659,0,5.88967028283131e-06,-371.292637041933,-371.292838704279,-0.000403324692342721,0,0,FALSE
1,"diffusion_positive_control",-3.35972301255937,2.82130824135496,416,-0.916290731874155,-0.266311256096151,-0.758707816929624,0.5,0.421628811174511,0.47385124981847,0.6,0.789992976658315,1.5,2.10740788403622,0.4,0.374864772331249,-455.414567904223,-407.482771331064,95.8635931463183,0,0,FALSE
2,"diffusion_negative_control",-2.30557334276542,3.08464841061631,196,-0.916290731874155,-1.04285933494522,-1.04286253629991,0.5,0.603875264499933,0.603874074104005,0,5.22594467237503e-05,1.5,6.07885950692202,0,8.59691635647152e-06,-349.361201857669,-349.361403154652,-0.000402593967010034,0,0,FALSE
2,"diffusion_positive_control",-2.30557334276542,3.08464841061631,324,-0.916290731874155,-0.554749962063159,-0.967088678322169,0.5,0.636491331920282,0.61687485424682,0.6,0.65556669265069,1.5,1.90710674311478,0.4,0.343749344402184,-409.051375752182,-377.204386284926,63.6939789345123,0,0,FALSE
3,"diffusion_negative_control",-3.02308750339551,3.64761464024789,211,-0.916290731874155,-0.936842713155698,-0.9541646017662,0.5,0.395963335459027,0.402287228508061,0,0.163284375511527,1.5,10.9529101203077,0,0.0149078531383895,-378.422332920941,-378.110735257444,0.623195326992345,0,0,FALSE
3,"diffusion_positive_control",-3.02308750339551,3.64761464024789,345,-0.916290731874155,-0.424051120343479,-0.873311416323713,0.5,0.332696006267882,0.362682872824784,0.6,0.718068665591305,1.5,2.01449214484462,0.4,0.356451459703602,-456.267327853981,-415.484013872196,81.5666279635705,0,0,FALSE
4,"diffusion_negative_control",-2.69141530875587,2.65761741160807,259,-0.916290731874155,-0.768234920676067,-0.828399857083542,0.5,0.580124358573595,0.584122610047148,0,0.079990796841245,1.5,1.40911963653384,0,0.0567665049633451,-393.437897629432,-392.863712969363,1.14836932013759,0,0,FALSE
4,"diffusion_positive_control",-2.69141530875587,2.65761741160807,410,-0.916290731874155,-0.2345637254129,-0.854177254678886,0.5,0.362895668619719,0.364857349365556,0.6,0.627226409188557,1.5,1.35874795498472,0.4,0.461620867128084,-468.448015235394,-411.426371109138,114.043288252511,0,0,FALSE
5,"diffusion_negative_control",-2.72946229974449,2.64079767584388,212,-0.916290731874155,-0.898637420535288,-0.900771303114536,0.5,0.543775691232859,0.544672328772663,0,0.000796592961597827,1.5,0.362127836955461,0,0.00219975621950268,-372.934666172329,-372.929777978767,0.00977638712299722,0,0,FALSE
5,"diffusion_positive_control",-2.72946229974449,2.64079767584388,345,-0.916290731874155,-0.386324969648837,-1.03614231031412,0.5,0.427835678318493,0.419407942028271,0.6,0.61472778495682,1.5,1.28402252715018,0.4,0.478751557670236,-451.629440228147,-400.300276677376,102.658327101543,0,0,FALSE
