"n_events","mu0_null","mu1_null","mu0_full","mu1_full","alpha_full","beta_full","loglik_null","loglik_full","LR","p_chisq","conv_null","conv_full","boot_id"
155,-0.560231667427037,0.74745381796786,-0.560546708673417,0.747452736172281,0.000916159101797555,5.56742616819831,-204.620924812372,-204.621901333717,0,1,0,0,1
153,-0.578891329298248,0.764866436757191,-0.700545533138397,0.825954159821726,0.0413301003706275,0.432111387361232,-202.819031303635,-202.386365342238,0.865331922792961,0.352250879779629,0,0,2
155,-0.56824839316271,0.771846887581072,-0.664119821826659,0.776219070630353,0.337039902962433,3.81393115196203,-202.981840494418,-201.192593299156,3.57849439052546,0.0585321789943705,0,0,3
140,-0.641495774925049,0.679142390738534,-0.641797516048513,0.679290485493113,0.000345305052627061,1.48199328602397,-202.949689486614,-202.950311014583,0,1,0,0,4
140,-0.658409821700429,0.735987670589515,-0.658363716042619,0.735959313592522,0.00049896327242329,18.7531404043468,-199.74547125666,-199.746739668829,0,1,0,0,5
140,-0.70709454140468,0.873261120793233,-0.724501815077185,0.882898964303268,0.00731956838381769,0.541186499339392,-190.926508996181,-190.912937495478,0.0271430014065004,0.869139711867496,0,0,6
137,-0.658075244985753,0.660969111920597,-0.658103594106533,0.660928053527457,0.000221244381778666,9.53789964763954,-202.522134812172,-202.522897695166,0,1,0,0,7
138,-0.642813728448951,0.630713958737225,-0.642912458754953,0.630658597175862,0.000568008101691095,7.64577372295923,-204.53603700616,-204.534315000938,0.00344401044515052,0.95320245582798,0,0,8
165,-0.447436028558524,0.559608173081269,-0.483785906091937,0.574437858899705,0.00437669718497951,0.130764084508752,-219.034533965379,-219.01909941068,0.0308691093981679,0.860532722103162,0,0,9
157,-0.553479382845257,0.76597541706868,-0.555581410281168,0.765764193558011,0.0244788546788182,13.0746769956841,-203.991894724436,-203.983169600179,0.0174502485130006,0.89490567936829,0,0,10
146,-0.61423444038389,0.729013113664738,-0.677916076439789,0.747164104055434,0.0336953997552687,0.597360086119885,-202.60514591638,-202.45297031422,0.304351204319232,0.581167377765327,0,0,11
138,-0.667167840676317,0.717758072211938,-0.715229309944537,0.732466770281888,0.0648410220685915,1.53059501243954,-199.919934902399,-199.726539870161,0.386790064475576,0.533991524420471,0,0,12
152,-0.559469837302183,0.67979117729103,-0.559569928021644,0.679973561069452,0.00162635834082064,16.8755737908888,-207.808000538093,-207.806770511132,0.00246005392199322,0.96044199879963,0,0,13
116,-0.802576599829631,0.572251196741769,-0.802564402222402,0.572195867198869,0.000118524208196566,6.54651337418417,-194.392002096908,-194.392744571251,0,1,0,0,14
149,-0.658294967603651,0.906964595077828,-0.747335425820793,0.945039969614435,0.0439485345855319,0.624030366800224,-191.369279417972,-191.018712302565,0.701134230814432,0.402402838532532,0,0,15
135,-0.667911949790318,0.642724063144505,-0.667969070656953,0.642770013008443,3.59187187861788e-05,0.61265525246215,-202.466776864357,-202.467215913525,0,1,0,0,16
137,-0.654910069423446,0.649284769645366,-0.678901732588351,0.660019499370582,0.117075301532967,5.77470555721007,-203.117804263659,-202.936661400037,0.362285727243318,0.547239533449805,0,0,17
121,-0.775945865951284,0.637145771343103,-0.803443691609661,0.644262645149498,0.0763100716594404,3.05873464400129,-194.963691002148,-194.852135103078,0.223111798139428,0.636679045031092,0,0,18
