"scenario","rep_id","mu0_true","mu1_true","alpha_true","beta_true","n_events","max_dN","mu0_hat","mu1_hat","alpha_hat","beta_hat","loglik_full","loglik_no_cov","loglik_no_hawkes","LR_cov","p_cov","LR_hawkes","p_hawkes","conv_full","conv_no_cov","conv_no_hawkes"
"no_covariate",1,-0.5,0,0.7,2.5,203,2,-0.567481153023527,0.0352185396988365,1.03472579372651,3.44751620960045,-225.052906791234,-225.090021585865,-245.261029496222,0.0742295892618472,0.785275203847432,40.4162454099764,2.05227557136752e-10,0,0,0
"no_covariate",2,-0.5,0,0.7,2.5,195,2,-0.50392057058331,-0.0141512840774606,0.645286721616339,2.92516641192776,-233.333677405285,-233.342954083616,-243.420447062676,0.0185533566627214,0.891654711208079,20.1735393147827,7.07245186337929e-06,0,0,0
"no_covariate",3,-0.5,0,0.7,2.5,188,2,-0.513990604701941,-0.109147369177216,0.785450222594798,3.90542882424563,-231.174110868874,-231.606613206053,-241.348321524446,0.865004674358261,0.352341948333335,20.3484213111441,6.45463183534114e-06,0,0,0
"no_covariate",4,-0.5,0,0.7,2.5,230,1,-0.463977965519962,-0.0869694747164655,0.551777989035556,1.71687550372127,-237.382769389742,-237.659967473338,-249.168111999659,0.554396167191101,0.456526965437554,23.5706852198326,1.20408004038961e-06,0,0,0
"no_covariate",5,-0.5,0,0.7,2.5,172,2,-0.974337837772056,-0.205158029789418,0.309112089004147,0.694595230220353,-220.521896437139,-221.248264849597,-236.328109150299,1.45273682491683,0.228089313016319,31.6124254263202,1.88221400890232e-08,0,0,0
"no_covariate",6,-0.5,0,0.7,2.5,206,2,-0.689103526710695,0.0779213365219781,0.312580863090275,0.803010930336823,-235.147452285462,-235.314441739458,-245.817924683666,0.333978907992105,0.563325502791744,21.3409447964072,3.84432284396291e-06,0,0,0
"no_covariate",7,-0.5,0,0.7,2.5,230,2,-0.434338839419335,0.261758018007232,0.730811985029931,2.51475244148615,-228.319268206738,-231.006278291348,-244.241161490896,5.37402016921948,0.0204388180864083,31.8437865683163,1.67083305942774e-08,0,0,0
"no_covariate",8,-0.5,0,0.7,2.5,206,2,-0.573831431966212,0.0697366936286074,0.759136105898307,2.41704632221688,-226.933237629583,-227.091895675335,-245.651503596891,0.31731609150296,0.573225057513497,37.4365319346145,9.44365691073638e-10,0,0,0
"no_covariate",9,-0.5,0,0.7,2.5,208,1,-0.639567143494284,0.177907014557242,0.604869696960555,1.67459249149968,-226.846663930371,-227.673420097065,-245.258264880569,1.65351233338913,0.198481557138115,36.8232019003972,1.29341767765215e-09,0,0,0
"no_covariate",10,-0.5,0,0.7,2.5,188,2,-0.596761864029586,0.116800482629617,0.588765772018303,2.25579470206313,-230.986020085199,-231.363296468805,-241.155080963153,0.754552767211749,0.385038614777676,20.3381217559084,6.48946824460061e-06,0,0,0
"no_covariate",11,-0.5,0,0.7,2.5,197,1,-0.523139343985688,-0.0373125654170263,0.522285959122311,2.1262248048004,-235.382872112506,-235.426905229248,-243.893319929723,0.0880662334842555,0.76665008558835,17.020895634433,3.69707102141829e-05,0,0,0
"no_covariate",12,-0.5,0,0.7,2.5,228,2,-0.504253835185448,0.0398193249890572,0.662986598832766,1.98330193362988,-227.552546232351,-227.598243583216,-249.006504252393,0.0913947017307351,0.762411512864775,42.9079160400851,5.73780130164955e-11,0,0,0
"no_covariate",13,-0.5,0,0.7,2.5,221,1,-0.481884975184217,-0.134180432692701,0.835641213475421,2.83793636688407,-229.670420823312,-230.373957035499,-247.5725978821,1.40707242437355,0.235542996013343,35.8043541175765,2.18159792888674e-09,0,0,0
"no_covariate",14,-0.5,0,0.7,2.5,214,1,-0.394806728916194,-0.0371463372816386,0.569888973090836,2.71699414664699,-239.252790490734,-239.306442317711,-247.278837250387,0.107303653954716,0.74323501997143,16.0520935193065,6.16234567527667e-05,0,0,0
"no_covariate",15,-0.5,0,0.7,2.5,207,2,-0.487846618665064,-0.0188932184137833,0.719072617859541,2.82633741956193,-232.85751431614,-232.873410314286,-246.019631001237,0.0317919962903375,0.858484942570334,26.3242333701936,2.88644114022083e-07,0,0,0
"no_covariate",16,-0.5,0,0.7,2.5,182,2,-0.647010135083249,-0.00674044187641329,0.505320449802156,1.81471369362132,-228.993876482636,-228.995367182325,-239.255303169946,0.00298139937785891,0.956455392353932,20.5228533746193,5.8923525022823e-06,0,0,0
"no_covariate",17,-0.5,0,0.7,2.5,218,2,-0.439132266331275,-0.0656816524203933,0.786532935855688,3.00795876439487,-232.728568727448,-232.895034618328,-247.303798577454,0.332931781758703,0.563937827134113,29.1504597000111,6.6969852039308e-08,0,0,0
"no_covariate",18,-0.5,0,0.7,2.5,245,2,-0.434912985590635,-0.0874123209039193,0.739307063541433,2.25925174775118,-229.904320536073,-230.195509104772,-248.835609348107,0.582377137399078,0.445382064534921,37.8625776240686,7.5907416950137e-10,0,0,0
"no_covariate",19,-0.5,0,0.7,2.5,201,1,-0.590681301540234,-0.00825223052956257,0.589687297394069,1.91705782860303,-231.236356375711,-231.238794095295,-244.823533416796,0.00487543916784716,0.944333469882134,27.1743540821688,1.85908465207872e-07,0,0,0
"no_covariate",20,-0.5,0,0.7,2.5,223,1,-0.446513557374671,0.0757208191891472,0.678200436879841,2.44845451906949,-233.68845440971,-233.962038886123,-247.894537109807,0.547168952825359,0.459476771270279,28.4121654001934,9.80472513976295e-08,0,0,0
"no_covariate",21,-0.5,0,0.7,2.5,217,2,-0.483065600188325,0.0956027124678708,0.842298540142049,2.94415937065954,-231.267908873399,-231.598172001961,-246.818030867879,0.66052625712382,0.416374216198016,31.1002439889595,2.4504058961287e-08,0,0,0
"no_covariate",22,-0.5,0,0.7,2.5,174,2,-0.666334099352355,0.344403291147615,0.390606853363287,1.78404760577241,-225.867396809554,-229.438779881261,-232.265285359329,7.14276614341367,0.00752669708642328,12.7957770995498,0.000347402646674558,0,0,0
"no_covariate",23,-0.5,0,0.7,2.5,238,1,-0.420987193151445,0.243751515650331,0.668359278542011,2.33038799307625,-231.22277546578,-233.539091485904,-244.887416047334,4.63263204024787,0.0313694051613908,27.3292811631076,1.71593191857442e-07,0,0,0
"no_covariate",24,-0.5,0,0.7,2.5,219,2,-0.415833494616611,0.0389303330474697,0.649964564691234,2.66695371649099,-236.320580840767,-236.376591612847,-247.779737698658,0.112021544160314,0.737854270659764,22.9183137157831,1.6903368643884e-06,0,0,0
"no_covariate",25,-0.5,0,0.7,2.5,204,3,-0.477169989380187,0.108945211102571,0.90100558391783,4.03230536906941,-231.720528298841,-232.290586853499,-244.109972244486,1.14011710931464,0.285627583093358,24.7788878912884,6.42978774262972e-07,0,0,0
"no_covariate",26,-0.5,0,0.7,2.5,241,1,-0.457429925879744,-0.0642106607161364,0.560583132267346,1.63834136121274,-233.277911778988,-233.411670193002,-249.551724762135,0.267516828029102,0.605002389976738,32.5476259662943,1.16307118773601e-08,0,0,0
"no_covariate",27,-0.5,0,0.7,2.5,235,1,-0.348601422207192,0.0156412759785405,0.720430174126548,2.92795737463236,-237.091823766831,-237.103209716769,-249.3313382133,0.0227718998760338,0.880051751778418,24.479028892939,7.51230665082134e-07,0,0,0
"no_covariate",28,-0.5,0,0.7,2.5,195,2,-0.601233684032705,0.297446601019663,0.728686519776821,2.43626252574871,-224.957118374992,-227.17515151898,-240.954294340453,4.43606628797471,0.035187233651374,31.9943519309211,1.54621485524983e-08,0,0,0
