"rep","case","n_events","true_mu","est_mu","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","convergence","error"
1,"negative_control_poisson",245,0.5,0.482981257670133,0,1.47646187391603,1.5,103.076526611723,0,0.0143239389456504,-419.770722529979,-418.014571941319,3.51230117732007,0,FALSE
1,"positive_control_hawkes",458,0.5,0.495163618241312,0.6,0.708614873049289,1.5,1.54162426593069,0.4,0.45965472178235,-498.184422753067,-435.458880230884,125.451085044366,0,FALSE
2,"negative_control_poisson",212,0.5,0.413946182926863,0,0.0170730710333014,1.5,0.714171904260801,0,0.023906108503348,-393.900626635038,-393.852437229753,0.0963788105708545,0,FALSE
2,"positive_control_hawkes",402,0.5,0.488882752803108,0.6,0.430385849709825,1.5,1.09650007379329,0.4,0.392508728449898,-489.698715940875,-460.821843730611,57.7537444205281,0,FALSE
3,"negative_control_poisson",232,0.5,0.44264186636102,0,0.0708207300357973,1.5,1.53834868776345,0,0.0460368514623046,-410.146008607365,-409.770372473438,0.751272267852187,0,FALSE
3,"positive_control_hawkes",410,0.5,0.508988603013198,0.6,0.525883872285473,1.5,1.3863493064449,0.4,0.379329992694287,-491.364884876774,-456.435121952187,69.8595258491741,0,FALSE
4,"negative_control_poisson",259,0.5,0.517880238560269,0,0.000847790079675426,1.5,3.31983480583804,0,0.000255371164307501,-429.365029511167,-429.366143608349,-0.00222819436248756,0,FALSE
4,"positive_control_hawkes",401,0.5,0.397453583830881,0.6,0.579893378355061,1.5,1.14788893295811,0.4,0.505182480382204,-489.479315117365,-417.305980489434,144.346669255861,0,FALSE
5,"negative_control_poisson",238,0.5,0.475752412947881,0,0.00375254199056343,1.5,7.86484546613552,0,0.000477128508973399,-414.676307090671,-414.676284045487,4.60903670500556e-05,0,FALSE
5,"positive_control_hawkes",449,0.5,0.482622615565481,0.6,0.749084140759182,1.5,1.61604367364255,0.4,0.463529639066468,-497.305759595292,-434.158842668499,126.293833853586,0,FALSE
6,"negative_control_poisson",261,0.5,0.521951289658602,0,0.000226869902999519,1.5,6.57358288170355,0,3.45123667081118e-05,-430.672887376969,-430.673189670831,-0.000604587723501027,0,FALSE
6,"positive_control_hawkes",414,0.5,0.49528937593185,0.6,0.542549765328268,1.5,1.34992529832067,0.4,0.401910954630756,-492.139239583107,-453.741273482935,76.7959322003452,0,FALSE
7,"negative_control_poisson",268,0.5,0.322186081785736,0,0.0312189397578239,1.5,0.0763891661201292,0,0.40868281908889,-435.130459600238,-431.928644453655,6.40363029316461,0,FALSE
7,"positive_control_hawkes",506,0.5,0.586391952830267,0.6,0.672916762089813,1.5,1.59557954311368,0.4,0.421738148369999,-499.964143142171,-452.408194402406,95.1118974795305,0,FALSE
8,"negative_control_poisson",255,0.5,0.424810618045335,0,0.0268532521177374,1.5,0.159014575114267,0,0.168872897961968,-426.70286108226,-425.925288347347,1.55514546982613,0,FALSE
8,"positive_control_hawkes",388,0.5,0.548103574373424,0.6,0.524164612575773,1.5,1.78293373304083,0.4,0.29398995759747,-486.39787041398,-461.55239803506,49.6909447578402,0,FALSE
9,"negative_control_poisson",246,0.5,0.491848655561363,0,0.00240565305888247,1.5,19.226273195332,0,0.000125123212098461,-420.482034372498,-420.48011245633,0.00384383233665631,0,FALSE
9,"positive_control_hawkes",432,0.5,0.470778061906447,0.6,0.559817480973937,1.5,1.22664292018151,0.4,0.456381781334618,-495.150844396931,-445.459323730173,99.3830413335168,0,FALSE
10,"negative_control_poisson",262,0.5,0.49395972634467,0,0.017770188998712,1.5,0.304684378858335,0,0.0583232690343287,-431.321061801207,-431.170772068937,0.300579464540419,0,FALSE
10,"positive_control_hawkes",447,0.5,0.538026998883343,0.6,0.402814699546149,1.5,1.01041890352317,0.4,0.398661088130475,-497.086128202454,-466.558394951811,61.0554665012862,0,FALSE
11,"negative_control_poisson",239,0.5,0.390017555726399,0,0.0593833829380765,1.5,0.321951938341636,0,0.184447974576449,-415.416546611273,-413.852973386493,3.12714644955872,0,FALSE
11,"positive_control_hawkes",441,0.5,0.51145137747645,0.6,0.818449562345704,1.5,1.94487067623425,0.4,0.420824670939266,-496.373381332127,-432.209738571164,128.327285521927,0,FALSE
12,"negative_control_poisson",249,0.5,0.4740314866196,0,0.148179478111322,1.5,3.08356191717764,0,0.0480546465715045,-422.591645287414,-421.669987811791,1.84331495124536,0,FALSE
12,"positive_control_hawkes",371,0.5,0.463633102349105,0.6,0.385152973976127,1.5,1.02359347620108,0.4,0.376275330911219,-481.708639287275,-458.940187410319,45.536903753911,0,FALSE
13,"negative_control_poisson",264,0.5,0.519458153266493,0,0.0301433301417987,1.5,1.84579732027126,0,0.0163307909328684,-432.605974752831,-432.545810605627,0.120328294407386,0,FALSE
13,"positive_control_hawkes",380,0.5,0.551654503741887,0.6,0.68341855473838,1.5,2.49296428318437,0.4,0.274138927439996,-484.286001366669,-458.568645975451,51.4347107824359,0,FALSE
14,"negative_control_poisson",249,0.5,0.466973433528087,0,0.0296226356191172,1.5,0.474837089058804,0,0.0623848395622035,-422.591645287414,-422.328301563272,0.526687448283496,0,FALSE
14,"positive_control_hawkes",418,0.5,0.477849225374183,0.6,0.890038002748718,1.5,2.07750116036799,0.4,0.428417571902134,-492.874946345128,-429.603302968604,126.543286753048,0,FALSE
15,"negative_control_poisson",239,0.5,0.451737329918519,0,0.00999391817104278,1.5,0.180073442141901,0,0.055499123314183,-415.416546611273,-415.347832796449,0.137427629648073,0,FALSE
15,"positive_control_hawkes",393,0.5,0.567034671757316,0.6,0.641914504827669,1.5,2.29934804214955,0.4,0.279172397158098,-487.633805215302,-460.519829383038,54.2279516645282,0,FALSE
16,"negative_control_poisson",245,0.5,0.431405765471406,0,0.00314475398428451,1.5,0.024728636709345,0,0.127170535976053,-419.770722529979,-419.645601389278,0.250242281400915,0,FALSE
16,"positive_control_hawkes",409,0.5,0.473305827160214,0.6,0.556481736411884,1.5,1.31776806883118,0.4,0.422291106890658,-491.165213433171,-451.812493701923,78.7054394624943,0,FALSE
17,"negative_control_poisson",260,0.5,0.519953119922032,0,0.000122603633101577,1.5,2.32860808069461,0,5.26510382395499e-05,-430.020881525733,-430.021626187088,-0.00148932271054036,0,FALSE
17,"positive_control_hawkes",409,0.5,0.497566445917248,0.6,0.413368929208014,1.5,1.051795633061,0.4,0.393012593145117,-491.165213433171,-461.3656537792,59.5991193079417,0,FALSE
18,"negative_control_poisson",261,0.5,0.513664318182868,0,0.371284675129493,1.5,23.2509748786689,0,0.015968563772787,-430.672887376969,-430.07486195762,1.19605083869828,0,FALSE
18,"positive_control_hawkes",367,0.5,0.411462328154444,0.6,0.662690042759185,1.5,1.50256850419643,0.4,0.441038156269346,-480.493373884917,-426.665706985723,107.655333798388,0,FALSE
19,"negative_control_poisson",222,0.5,0.357384025090474,0,0.0982393139208739,1.5,0.502109722377699,0,0.19565308047745,-402.248619074081,-399.733066247458,5.03110565324528,0,FALSE
19,"positive_control_hawkes",442,0.5,0.544283488468204,0.6,0.680068344354519,1.5,1.76567712897565,0.4,0.38516008005895,-496.497811624266,-452.898802739619,87.1980177692936,0,FALSE
20,"negative_control_poisson",252,0.5,0.34932509920762,0,0.0363417377944388,1.5,0.117264378451075,0,0.309912850555902,-424.665110749514,-422.759631221435,3.81095905615803,0,FALSE
20,"positive_control_hawkes",348,0.5,0.456913537042451,0.6,0.514948182680069,1.5,1.49813076136633,0.4,0.343727127137035,-474.117155289406,-443.63744396704,60.9594226447305,0,FALSE
21,"negative_control_poisson",244,0.5,0.480098804150239,0,0.137866117142006,1.5,8.51956826262724,0,0.0161822891597433,-419.055329043474,-418.784354295938,0.541949495071549,0,FALSE
21,"positive_control_hawkes",438,0.5,0.541272919129106,0.6,0.680061036410845,1.5,1.77508812814284,0.4,0.383113956782725,-495.986464364037,-452.737779943007,86.4973688420596,0,FALSE
22,"negative_control_poisson",252,0.5,0.503970190170043,0,0.000445974349742364,1.5,28.831186354946,0,1.54684702964315e-05,-424.665110749514,-424.665302660485,-0.000383821942591567,0,FALSE
22,"positive_control_hawkes",420,0.5,0.490279602323308,0.6,0.673129296515426,1.5,1.61467150492299,0.4,0.41688312109498,-493.228422600807,-441.439093811066,103.578657579482,0,FALSE
23,"negative_control_poisson",253,0.5,0.411182733743038,0,0.0259855980972657,1.5,0.136549788635662,0,0.19030126927988,-425.348308252752,-424.49977796365,1.6970605782036,0,FALSE
23,"positive_control_hawkes",393,0.5,0.503637223941903,0.6,0.725834381944955,1.5,2.020465110886,0.4,0.359241235116734,-487.633805215302,-450.476410624832,74.314789180939,0,FALSE
24,"negative_control_poisson",243,0.5,0.341538387593252,0,0.0156516100946261,1.5,0.0499902913355389,0,0.313092996189424,-418.335837184839,-417.099103211229,2.47346794722125,0,FALSE
24,"positive_control_hawkes",448,0.5,0.539902312239122,0.6,0.549055322845629,1.5,1.38130776392643,0.4,0.397489493061933,-497.197059971229,-462.081556245101,70.2310074522552,0,FALSE
25,"negative_control_poisson",253,0.5,0.505854274462546,0,5.35296491780125e-05,1.5,0.223744112127018,0,0.000239244951159314,-425.348308252752,-425.349935123243,-0.00325374098179054,0,FALSE
25,"positive_control_hawkes",458,0.5,0.548412205871699,0.6,0.742284361203924,1.5,1.84650738924355,0.4,0.401993712848347,-498.184422753067,-442.306491552136,111.755862401861,0,FALSE
26,"negative_control_poisson",258,0.5,0.337794097341456,0,0.0469297936431037,1.5,0.133155080704021,0,0.352444633693098,-428.705316483148,-426.318520470119,4.7735920260584,0,FALSE
26,"positive_control_hawkes",432,0.5,0.543776967208096,0.6,0.504404297769511,1.5,1.35741268403475,0.4,0.371592444731125,-495.150844396931,-465.808234873874,58.6852190461141,0,FALSE
27,"negative_control_poisson",257,0.5,0.388668674454589,0,0.0535010440457738,1.5,0.218746754030098,0,0.244579830603623,-428.041727476432,-425.86281297949,4.35782899388323,0,FALSE
27,"positive_control_hawkes",451,0.5,0.497022092945778,0.6,0.542970094197474,1.5,1.2050144486777,0.4,0.450592185673204,-497.516482272701,-452.395044077022,90.2428763913566,0,FALSE
28,"negative_control_poisson",218,0.5,0.338672816469423,0,0.0401211840664965,1.5,0.179018784303559,0,0.224117174198121,-398.964641768016,-397.625761941643,2.67775965274768,0,FALSE
