"gamma1_true","replicate","n_events","mu_hat","alpha_hat","beta_hat","branching_hat","neg_loglik","convergence"
0,1,149,0.681723613122528,0.17380794546938,2.03852756140281,0.0852615136337788,192.058982731976,0
0,2,165,0.744084729235054,0.179641927060698,1.8331429693498,0.0979966811450695,195.684996297685,0
0,3,152,0.562234724438244,0.158279480218728,0.599358631553534,0.264081422851071,191.250754099227,0
0,4,121,0.589950015908848,2.41469633373841,97.0669329773273,0.0248766110113156,180.068399889709,0
0,5,155,0.722857705148387,0.795152170501305,11.8001563011021,0.0673848845906425,192.424643012625,0
0,6,169,0.8449390059995,1.46746722407172e-06,1723.79098196282,8.51302297915937e-10,197.462752708779,0
0,7,157,0.623123908247298,0.102855652144568,0.491095449647374,0.209441264866987,193.638592164382,0
0,8,153,0.483033822398274,0.0757591935716535,0.198364650665835,0.381918821308931,191.600085343675,0
0,9,127,0.613166400611178,0.31357425531445,9.05059004649167,0.0346468300634169,184.200680486984,0
0,10,139,0.578906487892233,0.0568174751674212,0.335655394175324,0.169273237234923,188.840068654411,0
0,11,145,0.724990855965064,9.42777924492122e-06,498.956937294593,1.88949757789516e-08,191.629626518678,0
0,12,134,0.670027292874475,3.28376569285088e-06,356.076582002154,9.22207710034415e-09,187.663995270917,0
0,13,149,0.689358956282954,0.131331259224033,1.74266912261387,0.0753621312960697,192.373709033319,0
0,14,140,0.595347540730723,0.344562813452014,2.30163400306899,0.149703564073426,186.761976156891,0
0,15,147,0.715196228131656,5.25338119102225,195.035881863918,0.026935459982116,188.879040616772,0
0,16,127,0.616549237803428,0.251115776310307,8.66558355714534,0.0289785188330733,184.334702576868,0
0,17,165,0.486555863078616,0.00705299939382655,0.00705310480260688,0.999985054981702,191.876734286161,0
0,18,184,0.919865408049815,0.00183805393660019,19.8906668279553,9.2407859047586e-05,199.341757141961,0
0,19,157,0.784827242963713,0.00164421400685656,21.9156852646371,7.50245309239609e-05,195.005037996172,0
0,20,171,0.685331738980419,0.211276361866976,1.06132304980829,0.199068852697715,195.41176102539,0
0,21,164,0.819974988403972,1.25686326455526e-05,48.5066452115312,2.59111562771295e-07,196.545957612411,0
0,22,167,0.834900799895753,2.62859425872717e-05,73.3741848460022,3.58245105447382e-07,197.114043419451,0
0,23,167,0.835065184735643,7.25701299924712e-07,39.3256065567464,1.84536581496215e-08,197.114034542805,0
0,24,132,0.610507891696642,0.280972585034469,3.73775578191465,0.0751714668983914,185.868614346413,0
0,25,121,0.605012678140941,1.13937466634489e-06,1674.12224493136,6.80580327867036e-10,181.805745444024,0
0,26,157,0.78498195086697,6.9048324079703e-08,677.498367086278,1.01916591144949e-10,195.005235165847,0
0,27,147,0.726676011899491,0.0638948487134415,5.66522667241681,0.0112784275736991,192.227368731559,0
0,28,149,0.744846492218209,9.89843941121602e-05,156.210834881919,6.33658953215271e-07,192.861303520491,0
0,29,138,0.690109183082891,7.65609171160472e-07,556.735322163373,1.37517621153523e-09,189.20678994919,0
0,30,163,0.743463267551038,0.208377348337568,2.37030666129534,0.0879115566522066,195.344130339731,0
0.25,1,138,0.593745284604938,0.216506397420419,1.52576547263986,0.141900181451755,187.482228859928,0
0.25,2,156,0.779920018954871,1.74812011321495e-07,10.4290367107791,1.67620477489368e-08,194.759973480212,0
0.25,3,149,0.733204881999999,1.53610501546959,96.1689808980248,0.0159729779927526,191.995383649571,0
0.25,4,146,0.723799736700066,0.135347894060253,15.8742153946088,0.00852627299653624,191.897016005153,0
0.25,5,161,0.805126968885871,1.92810009527484e-06,17.652089052745,1.09227870396168e-07,195.922998128533,0
0.25,6,142,0.59640905526818,0.173010332653674,1.0762967685145,0.160745937101031,189.054575407619,0
0.25,7,159,0.770831657956289,0.168366295900157,5.53537437429188,0.0304164243492013,195.215696464257,0
0.25,8,160,0.80000015605051,0.000259343068262782,81.6093885567457,3.17785824461179e-06,195.702924220458,0
0.25,9,138,0.664729197674879,1.60617609384516,44.0006116035535,0.0365034947313197,187.253226930928,0
0.25,10,163,0.699664950483537,0.0471769749546875,0.328721121355048,0.143516713377636,195.917123979102,0
0.25,11,152,0.6972468518701,0.187585933509796,2.26990747379119,0.0826403435715777,192.947494176731,0
0.25,12,148,0.711875687197894,1.71228897736253,45.0154530673466,0.038037803924817,190.177169093619,0
0.25,13,144,0.70131442074565,0.0755968142048624,2.89733083215395,0.0260918820059847,191.21851763299,0
0.25,14,167,0.750419940960825,0.0748764342029988,0.737255876086355,0.101560986669204,196.665835094848,0
0.25,15,155,0.775099257355335,7.15461734134113e-05,220.671596134088,3.24220129218339e-07,194.508296636858,0
0.25,16,141,0.696859121701167,9.6263359426496,839.749115700582,0.0114633475197156,188.36270930954,0
0.25,17,152,0.760107075965535,0.000104522260570856,41.1873802293504,2.53772539037024e-06,193.714396252602,0
0.25,18,157,0.741675557095203,0.121233214287903,2.18295453556171,0.0555362983117319,194.678589375826,0
0.25,19,153,0.750035188314777,0.0694671333159207,3.56555837421096,0.0194828203678739,193.923552255758,0
0.25,20,138,0.689868409362673,0.000377503928986008,53.133547062853,7.10481324612958e-06,189.206816923605,0
0.25,21,139,0.695109974264655,7.65609171160472e-07,556.735322163373,1.37517621153523e-09,189.574239176169,0
0.25,22,166,0.8299839696108,5.06765680069994e-05,66.9711815456309,7.56692159783247e-07,196.930700059214,0
0.25,23,159,0.785029606930325,0.19001475822169,15.1315901587916,0.0125574877608808,195.363913033693,0
0.25,24,144,0.681463363235046,0.168454434890552,3.12231387407767,0.053951793984938,190.830827256837,0
0.25,25,153,0.724306510367238,0.428436867245245,8.07001392095809,0.0530899787090305,193.015101327794,0
0.25,26,144,0.50406119380961,0.132571184027114,0.438809089026832,0.302115857082915,188.735437357903,0
0.25,27,170,0.833197208580559,0.0299566673015791,1.51657657070024,0.0197528221656144,197.595929945822,0
0.25,28,142,0.694855331913527,0.0497542557155365,2.32828932977711,0.0213694471212045,190.585159913852,0
0.25,29,142,0.623463964703589,0.0373740872334438,0.299755173506485,0.124682042335577,190.337228907619,0
0.25,30,155,0.73599620896763,0.0453176319467871,0.899959962937406,0.0503551644662875,194.394291154216,0
0.5,1,160,0.498882204152323,0.117113643136489,0.30471990497479,0.384332107041639,192.530299307306,0
0.5,2,164,0.820069531973806,4.78020112820768e-06,923.388581826904,5.17680337648333e-09,196.545955389263,0
0.5,3,178,0.505671417348219,0.189493853761907,0.43482254210733,0.435795837178868,191.689457534547,0
0.5,4,161,0.52224479097362,0.104275072368287,0.295874614750857,0.352429938797191,193.399710700967,0
0.5,5,168,0.515115547344036,0.156136326399974,0.401214160893809,0.389159560201313,192.32948801527,0
0.5,6,152,0.490173472455535,0.101911643708009,0.284229050656782,0.358554635680332,190.927177437203,0
0.5,7,167,0.517141492673714,0.150511176201082,0.393316688845234,0.382671726040861,192.400632122403,0
0.5,8,165,0.729749193822005,0.101656563902263,0.87204636884786,0.116572429556206,195.938842265404,0
0.5,9,169,0.566113510751233,0.176410010140369,0.530819355491535,0.332335300729594,193.151858893136,0
0.5,10,172,0.486121657176169,0.26151876117039,0.601284948051647,0.434933157761214,188.678313805266,0
0.5,11,161,0.551413338000838,0.092716105689149,0.289676542508355,0.320067703398783,193.87180953654,0
0.5,12,161,0.512973558860899,0.149176999952319,0.407459709908308,0.366114725762429,191.457115820466,0
0.5,13,178,0.556784256164015,0.178907348638014,0.47351791598821,0.377825933501678,193.482138960617,0
0.5,14,153,0.7158639996788,0.386576349305978,6.01811403169482,0.0642354643448173,192.874295258915,0
0.5,15,153,0.519766995459579,0.0927535794727684,0.285054832831043,0.325388552621891,191.552170832525,0
0.5,16,177,0.551644930926767,0.255964887611673,0.672099657658712,0.380843651227762,192.195029101104,0
0.5,17,162,0.641834464865203,0.17880165856365,0.853494044855004,0.20949373887433,194.127243697689,0
0.5,18,171,0.502307308811587,0.168087043473829,0.403148706135934,0.416935589561718,192.438950732494,0
0.5,19,136,0.358114391805349,0.161844719693527,0.340777581761228,0.474927719297352,183.687235751364,0
0.5,20,138,0.474098005519321,0.121622237615936,0.38093290571747,0.319274695859804,186.612983106163,0
0.5,21,154,0.663300555389463,0.577971615280497,4.16544317545375,0.138753931079023,190.327375073133,0
0.5,22,162,0.54696175223409,0.164928847518021,0.498492136519405,0.33085546478144,192.688440505517,0
0.5,23,173,0.506583585094343,0.178701991802172,0.430085948488796,0.41550297662614,191.696760591975,0
0.5,24,158,0.537571476502564,0.206492971728123,0.640653794946619,0.322316004926387,191.329138337642,0
0.5,25,151,0.552623558264648,0.124965837597776,0.459765543149167,0.271803399493189,191.071216108314,0
0.5,26,158,0.770468642664325,0.582844421615638,23.5764697492962,0.024721445908289,194.568375329596,0
0.5,27,178,0.792984153499484,0.930145203404339,8.51157377532577,0.109280049489877,193.848810819388,0
0.5,28,159,0.451429271035347,0.310894842817037,0.714495239673987,0.435125142273716,185.137914710948,0
0.5,29,158,0.612138444998268,0.117420494233994,0.515612695121063,0.22773002942921,193.065153870495,0
0.5,30,150,0.722833417571702,0.562223763123548,15.4669423903159,0.0363500263294162,192.267324728198,0
0.75,1,185,0.419023733699522,0.217294328745181,0.393751780015504,0.551856117924406,189.052299051628,0
0.75,2,167,0.617097267929281,0.0917890614819953,0.345692870936399,0.265521997122361,195.530726946054,0
0.75,3,177,0.436869541315948,0.299822885849357,0.586376519028701,0.511314618030744,184.695705190743,0
0.75,4,188,0.423707731169464,0.2894907414342,0.523719906768828,0.552758712610828,181.462657653676,0
0.75,5,168,0.405455971778863,0.283593043062724,0.546834846242456,0.518608214182795,184.135731563973,0
0.75,6,179,0.541801331882933,0.244883277163573,0.610976095563481,0.400806641932081,192.284781084447,0
0.75,7,172,0.506432719316275,0.22803148065655,0.548073175731918,0.416060283103671,190.24203099987,0
0.75,8,181,0.510583913423782,0.246067595270444,0.563133998759769,0.436961000068148,189.264965748352,0
0.75,9,169,0.395325027377918,0.255000609822556,0.47305135956171,0.539054808042024,183.636352240576,0
0.75,10,189,0.537030209351401,0.197191994807673,0.454482861425179,0.433882136257709,193.176474611913,0
0.75,11,187,0.524827597636244,0.21822350924825,0.493272563547725,0.442399446826595,191.989144009065,0
0.75,12,161,0.481538541436803,0.133669972248757,0.330331153877808,0.404654452598808,191.63889154333,0
