"gamma1_true","replicate","n_events","mu_hat","alpha_hat","beta_hat","branching_hat","neg_loglik","convergence"
0,1,142,0.709931801645704,2.25950588322619e-06,3786.61750473477,5.96708244337041e-10,190.633624610289,0
0,2,165,0.824988339769807,2.3999439988087e-06,1116.19419904053,2.15011330543705e-09,196.741362658076,0
0,3,147,0.71866677206137,0.149949672218042,6.73968232473578,0.0222487744960473,192.114091564089,0
0,4,133,0.664914005418287,1.36693979927033e-05,387.871637059225,3.52420664123375e-08,187.259781479851,0
0,5,142,0.666871257108602,0.11502076235113,1.89101862164154,0.0608247645130451,190.277455539037,0
0,6,139,0.685178817004843,0.5993613547387,42.2454993952099,0.0141875788739441,189.209733704692,0
0,7,137,0.684884461838217,1.09830306733647e-05,482.867902425857,2.27454146738427e-08,188.832097443712,0
0,8,146,0.728829515268796,0.0172605829781977,10.9667985438057,0.00157389441497006,191.946403928459,0
0,9,135,0.472926046618423,0.15486101951758,0.512318392565129,0.302274955896481,184.736799076023,0
0,10,131,0.603117838516286,0.277037296197359,3.50187603086506,0.0791111089472014,185.426842022255,0
0,11,141,0.704910702993769,7.98379559404841e-07,12.3933536832847,6.44199770141022e-08,190.287607742155,0
0,12,139,0.683799683461898,0.216062150197553,13.326382615831,0.0162131132225547,189.430530285065,0
0,13,145,0.724987391349058,0.000434978580157898,63.2588525716246,6.87616930239756e-06,191.629603398666,0
0,14,140,0.599304631730514,0.0926494908465134,0.635037966660264,0.145895986871096,189.159628438212,0
0,15,164,0.820097874170316,1.39388124878747e-05,46.1395793658628,3.02100987469937e-07,196.545955773097,0
0,16,148,0.731748712237861,2.67373055595614,239.051045148003,0.0111847683171632,191.71461680638,0
0,17,151,0.702778944430254,0.149480240520922,2.15091758418333,0.0694960335161693,192.864860246027,0
0,18,133,0.563687798798286,0.0923044927344382,0.601248666795737,0.15352132625318,186.431408588996,0
0,19,164,0.813506054560123,0.020805542540162,2.62964014042385,0.00791193525696962,196.538322229173,0
0,20,161,0.777095194153672,0.915363451681179,26.4649072628451,0.0345878201117405,194.706005555429,0
0,21,136,0.680060612241734,6.25681615818234e-05,60.9421822926921,1.02668068697183e-06,188.450081912398,0
0,22,144,0.658898829411502,0.41461946347319,4.88660716969913,0.0848481265373984,189.724136968396,0
0,23,167,0.755929476732694,0.0495943566431521,0.520243109967364,0.0953291945495699,196.849671096357,0
0,24,136,0.679993681577828,0.000805604383336272,41.9696971997417,1.91949057793352e-05,188.44965090731,0
0,25,139,0.645159325380885,0.0869740180705876,1.20719724246704,0.0720462365311955,189.263766058318,0
0,26,156,0.521141164066584,0.00676838770397252,0.0117617559299845,0.575457248412859,192.602820093718,0
