"b","n_events","lrt_stat","convergence","error"
1,243,-3.41060513164848e-13,0,FALSE
2,265,0.752682156443257,0,FALSE
3,239,0.231673150058896,0,FALSE
4,246,-2.27373675443232e-13,0,FALSE
5,270,6.72457368744324,0,FALSE
6,231,-1.13686837721616e-13,0,FALSE
7,213,0.0675849595645559,0,FALSE
8,217,-1.13686837721616e-13,0,FALSE
9,224,-1.13686837721616e-13,0,FALSE
10,269,1.94026604591852,0,FALSE
11,262,0.7065241752166,0,FALSE
12,228,0.783139430365509,0,FALSE
13,274,0.204067823043601,0,FALSE
14,251,0.632935711599657,0,FALSE
15,243,-1.13686837721616e-13,0,FALSE
16,243,1.04313017139145,0,FALSE
17,243,0,0,FALSE
18,221,0.0212885953393425,0,FALSE
19,226,0.195185864299901,0,FALSE
20,232,0,0,FALSE
21,253,0,0,FALSE
22,252,0.221679412103867,0,FALSE
23,210,0.436597183086633,0,FALSE
24,254,0.000277985957609417,0,FALSE
25,249,0,0,FALSE
26,225,-1.13686837721616e-13,0,FALSE
27,245,0.799931297877947,0,FALSE
28,245,0.831028540159764,0,FALSE
29,255,0.00398225741275837,0,FALSE
30,241,0.487377571399861,0,FALSE
31,247,1.25430453863373e-05,0,FALSE
32,268,2.09079298110396,0,FALSE
33,258,0.026313200825598,0,FALSE
34,256,4.83836928104984,0,FALSE
35,262,1.13686837721616e-13,0,FALSE
36,261,0,0,FALSE
37,249,1.06043921732635e-05,0,FALSE
38,265,1.99551117819487,0,FALSE
39,240,0,0,FALSE
40,238,0.00134920251412041,0,FALSE
41,264,1.41949761961041,0,FALSE
42,261,0.315543004740562,0,FALSE
43,239,-1.47792889038101e-12,0,FALSE
44,268,2.59515966259164,0,FALSE
45,249,-3.41060513164848e-13,0,FALSE
46,248,0,0,FALSE
47,267,0.806788216894347,0,FALSE
48,220,0,0,FALSE
49,275,2.71042409142899,0,FALSE
50,255,0.1967290077082,0,FALSE
51,263,4.17400697623282,0,FALSE
52,269,1.04557736160996,0,FALSE
53,248,2.6274047697616,0,FALSE
54,258,0.229400066984681,0,FALSE
55,261,1.1691430776184,0,FALSE
56,257,0.595957490652495,0,FALSE
57,237,2.27373675443232e-13,0,FALSE
58,249,1.57527630506945,0,FALSE
59,262,0.437455024252927,0,FALSE
60,227,2.27373675443232e-13,0,FALSE
61,270,1.30307081522187,0,FALSE
62,234,0.0978052115362971,0,FALSE
63,263,0.0584827690033762,0,FALSE
64,246,0.279222828727143,0,FALSE
65,269,1.61740094390348,0,FALSE
66,288,5.10929013869691,0,FALSE
67,246,0.500370868162349,0,FALSE
68,253,2.74298875133786,0,FALSE
69,254,2.6444013564992,0,FALSE
70,284,5.02520991498898,0,FALSE
71,224,2.92507742827434,0,FALSE
72,270,0.407816154511011,0,FALSE
73,216,-3.97903932025656e-12,0,FALSE
74,270,5.01475663383815,0,FALSE
75,257,1.35836428011874,0,FALSE
76,236,0.0831350673192901,0,FALSE
77,252,5.29762401272251,0,FALSE
78,264,1.73448457835082,0,FALSE
79,247,0.0017443417798404,0,FALSE
80,261,5.89536765596381,0,FALSE
81,267,1.54722745096524,0,FALSE
82,249,3.91108427619247,0,FALSE
83,234,0,0,FALSE
84,239,0,0,FALSE
85,267,3.50905736556297,0,FALSE
86,278,4.31976809025286,0,FALSE
87,250,0.00343282434880621,0,FALSE
88,251,-5.6843418860808e-13,0,FALSE
89,264,3.32809581755475,0,FALSE
90,270,1.33559999489364,0,FALSE
91,277,3.79578222386772,0,FALSE
92,251,1.23079259441965,0,FALSE
