"rep","case","n_events","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","convergence","error"
1,"td_baseline_negative_control",245,0,0.879750162142476,1.5,158.647237042123,0,0.00554532293498998,-403.029778199987,-402.565959759059,0.927636881855278,0,FALSE
1,"td_baseline_positive_control",405,0.6,0.733781619670823,1.5,1.8287895319223,0.4,0.401238965371548,-513.311654064099,-414.680214603478,197.262878921243,0,FALSE
2,"td_baseline_negative_control",262,0,0.000791753508409113,1.5,72.8006986830867,0,1.08756306289826e-05,-415.625281562354,-415.624983254287,0.000596616134316719,0,FALSE
2,"td_baseline_positive_control",364,0.6,0.53156749333113,1.5,1.74184836316768,0.4,0.30517437945312,-487.858585152611,-443.560889807581,88.5953906900604,0,FALSE
3,"td_baseline_negative_control",242,0,2.32999889708464e-10,1.5,2277272.64606437,0,1.02315324478665e-16,-406.148860191124,-406.148860191124,-1.13686837721616e-13,0,FALSE
3,"td_baseline_positive_control",458,0.6,0.6226271709365,1.5,1.3727824694471,0.4,0.453551225189573,-548.986055633925,-428.710580906119,240.550949455611,0,FALSE
4,"td_baseline_negative_control",226,0,0.332159322680268,1.5,54.5309190861333,0,0.00609121078916003,-393.606315229507,-393.424285350318,0.364059758377607,0,FALSE
4,"td_baseline_positive_control",449,0.6,0.673080780259289,1.5,1.50762341912449,0.4,0.446451528757867,-516.827661649821,-398.550715220735,236.553892858171,0,FALSE
5,"td_baseline_negative_control",273,0,0.00936385620792504,1.5,0.161398032169618,0,0.0580171646583912,-405.024776323593,-404.49213283334,1.06528698050624,0,FALSE
5,"td_baseline_positive_control",458,0.6,0.478675532240842,1.5,1.07864676989062,0.4,0.443774130329413,-523.225712444514,-415.830193252483,214.791038384061,0,FALSE
6,"td_baseline_negative_control",282,0,0.000362586111861309,1.5,0.000425484033018976,0,0.852173251458153,-425.269170788739,-423.642556216636,3.2532291442069,0,FALSE
